Name,Wing,CompanyNumber,CharityNumber
Compass,Left,5391145,
Demos,Left,2977740,
Demos,Left,2667039,
Demos,Left,,1042046
Fabians,Left,,
Institute of Public Policy Research,Left,2292601,
Institute of Public Policy Research,Left,4041367,
Progress,Left,3109611,
Adam Smith Institute,Right,1553005,
Adam Smith Institute,Right,2732176,
Adam Smith Institute,Right,5648068,
Adam Smith Institute,Right,,802750
Adam Smith Institute,Right,,270958
Bow Group,Right,7810169,
Bow Group,Right,8440197,
Bow Group,Right,8114075,
Bow Group,Right,7776868,
Centre for Policy Studies,Right,1174651,
Centre for Social Justice,Right,5137036,
Centre for Social Justice,Right,6839220,
Institute of Economic Affairs,Right,755502,
Institute of Economic Affairs,Right,,235351
Policy Exchange,Right,4297905,
Policy Exchange,Right,,1096300
Reform,Right,5064109,
Reform,Right,,1103739
Legatum Institute,Right,FC028686,
Legatum Institute,Right,7430903,
Legatum Institute,Right,,1140719